model,year,price,type,distance,fuel,tax,miles per galoon,size
7,2016,21995.0,2,28526.0,0,160,50.4,2.0
2,2015,13995.0,1,27016.0,0,30,62.8,2.0
2,2016,18498.0,2,29845.0,1,160,45.6,2.0
3,2017,20000.0,0,44783.0,0,145,62.8,2.0
7,2014,12300.0,0,43195.0,0,200,47.9,2.0
0,2017,12500.0,1,15735.0,1,150,55.4,1.4
0,2015,12995.0,1,20042.0,1,30,57.6,1.4
4,2019,30985.0,0,4445.0,0,145,47.9,2.0
9,2019,48348.63873015211,0,1510.0,0,145,33.2,3.0
7,2016,15500.0,0,11863.0,0,160,50.4,2.0
6,2019,22663.0,1,3657.0,0,145,49.6,1.6
2,2020,34798.0,2,6998.0,1,145,38.2,2.0
2,2017,14800.0,1,21225.0,0,145,72.4,2.0
6,2019,24368.0,1,4502.0,0,145,47.9,1.6
2,2020,40780.0,2,6746.0,0,145,45.6,2.0
4,2015,17100.0,0,32083.0,0,30,61.4,2.0
2,2017,19495.0,2,31214.0,0,30,67.3,2.0
9,2015,34995.0,2,21245.0,0,205,47.9,3.0
8,2017,25750.0,0,17039.0,0,145,55.4,2.0
6,2018,19990.0,1,16414.0,1,145,50.4,1.4
2,2017,18995.0,1,27394.0,0,30,64.2,2.0
2,2016,11750.0,1,72026.0,0,0,74.3,2.0
6,2018,21495.0,1,27198.0,1,145,50.4,1.4
0,2016,12995.0,1,29283.0,1,0,67.3,1.0
0,2017,11200.0,1,34824.0,1,0,67.3,1.0
1,2018,28995.0,2,17166.0,1,145,43.5,2.0
0,2016,14495.0,1,20905.0,1,30,56.5,1.4
0,2017,12800.0,1,20351.0,1,30,55.4,1.4
1,2018,26990.0,2,18283.0,1,145,44.1,2.0
0,2017,12995.0,1,24386.0,1,0,67.3,1.0
8,2018,27995.0,2,15076.0,0,145,56.5,2.0
12,2017,24995.0,2,11621.0,1,150,42.8,2.0
8,2017,25995.0,2,29330.0,0,145,56.5,2.0
1,2019,20985.0,2,3409.0,1,145,43.5,1.5
8,2016,33995.0,2,23478.0,0,235,42.2,3.0
6,2017,18995.0,1,17872.0,0,145,64.2,1.6
3,2019,30709.0,2,4327.0,1,145,39.8,2.0
9,2019,48136.0,2,4813.0,0,145,33.2,3.0
6,2019,24365.0,1,3578.0,0,145,47.9,1.6
4,2019,33295.0,2,4196.0,0,145,47.9,2.0
0,2015,13995.0,1,32065.0,1,30,55.4,1.4
5,2017,28995.0,2,15072.0,0,200,47.1,3.0
7,2017,16490.0,1,50286.0,0,145,61.4,2.0
7,2017,23995.0,2,25667.0,1,145,40.4,2.0
9,2017,35995.0,2,33165.0,0,200,47.9,3.0
6,2017,19995.0,1,27078.0,1,125,50.4,1.4
6,2017,19995.0,1,29874.0,1,125,50.4,1.4
4,2019,30990.0,2,10852.0,0,145,47.9,2.0
0,2017,14495.0,1,8608.0,1,145,67.3,1.0
12,2018,16498.0,1,34170.0,1,150,47.1,1.8
2,2013,10498.0,1,31169.0,1,145,49.6,1.8
1,2017,16000.0,1,26249.0,0,30,67.3,1.6
0,2018,15800.0,1,10793.0,1,145,56.5,1.4
1,2019,18490.0,1,10059.0,1,145,43.5,1.5
7,2017,19995.0,1,18380.0,1,145,49.6,1.4
8,2019,31998.0,2,100.0,1,145,33.2,2.0
2,2013,9498.0,0,42011.0,1,145,47.1,2.0
7,2017,15000.0,1,44898.0,0,125,57.7,2.0
2,2018,17200.0,0,25138.0,0,145,70.6,2.0
1,2019,18490.0,1,5985.0,1,145,43.5,1.5
